bowler,runs_allowed,extras_allowed,deliveries_bowled,extra_deliveries,wickets_taken,dots,singles,doubles,threes,fours,sixers,bowl_outs
AUK Pathan,57,6,39,2,0,9,21,2,0,5,2,0
Abdul Samad,91,5,42,1,1,9,15,6,0,4,8,0
Abdur Razzak,23,6,12,2,0,5,3,1,0,2,1,0
Abhishek Sharma,109,4,72,2,3,11,44,6,0,4,6,1
Anand Rajan,188,18,149,13,10,57,52,10,0,17,8,2
Ankit Sharma,436,17,367,8,12,137,154,24,3,28,18,4
Ankit Soni,141,4,109,3,4,37,45,11,0,8,7,1
Anureet Singh,601,35,412,18,21,139,145,27,2,64,22,6
Arshdeep Singh,312,24,209,14,14,70,69,17,2,34,11,2
Avesh Khan,294,7,180,5,5,68,59,4,0,28,19,1
Azhar Mahmood,681,26,537,15,31,199,207,33,1,71,18,7
B Akhil,235,11,188,5,7,60,85,12,0,18,9,1
B Chipli,20,0,6,0,0,1,0,2,0,1,2,0
B Geeves,90,1,48,1,2,15,14,1,0,17,1,0
B Kumar,3132,201,2697,98,146,1155,863,177,9,335,88,44
B Laughlin,271,13,168,11,10,42,70,18,0,26,10,1
B Lee,1042,84,875,41,30,374,264,64,1,121,25,6
B Stanlake,194,6,144,6,7,64,43,6,3,19,9,1
BA Bhatt,389,19,296,7,13,93,132,16,2,35,13,3
BA Stokes,926,67,677,34,31,226,253,47,2,96,31,7
BAW Mendis,277,11,240,4,9,76,118,16,1,16,10,1
BB Sran,718,49,483,33,20,168,167,37,2,72,29,2
BCJ Cutting,422,8,281,7,12,77,132,12,0,44,15,3
BE Hendricks,224,15,150,7,11,52,47,13,4,24,7,1
BJ Hodge,294,16,234,4,18,75,106,18,0,17,14,4
BJ Rohrer,11,1,6,1,0,1,3,0,0,2,0,0
BMAJ Mendis,36,0,30,0,1,11,14,1,0,2,2,0
BW Hilfenhaus,461,36,372,18,23,173,99,19,1,48,21,6
Basil Thampi,682,22,425,12,21,114,176,32,0,64,31,7
Bipul Sharma,557,24,426,10,22,131,199,27,2,28,31,3
C Ganapathy,13,0,6,0,0,1,3,0,0,1,1,0
C Munro,15,0,12,0,0,5,5,0,0,1,1,0
C Nanda,55,3,48,2,2,13,23,8,0,1,2,0
C de Grandhomme,301,22,216,14,7,58,105,15,0,22,12,1
CH Gayle,680,75,554,30,19,180,248,30,4,49,27,7
CH Morris,1851,115,1474,58,88,583,503,100,10,185,62,25
CJ Anderson,497,28,297,18,14,79,121,15,0,52,23,1
CJ Dala,33,1,18,1,0,7,3,3,0,3,2,0
CJ Green,24,0,17,0,0,6,6,1,0,4,0,0
CJ Jordan,570,50,387,28,25,119,147,33,2,51,24,6
CJ McKay,60,0,42,0,1,14,17,1,1,8,1,0
CK Kapugedera,49,0,17,0,0,0,7,2,0,5,3,0
CK Langeveldt,178,21,156,9,13,69,50,6,0,17,8,2
CL White,81,5,42,4,1,8,21,2,0,5,6,0
CR Brathwaite,363,21,254,12,16,74,113,14,0,37,12,2
CR Woakes,554,35,374,22,26,131,130,21,0,58,25,5
CRD Fernando,279,27,234,15,19,99,75,12,1,30,9,3
CV Varun,390,2,330,1,18,118,140,29,0,30,12,6
D Kalyankrishna,85,3,48,2,2,10,22,2,1,8,4,0
D Salunkhe,70,10,47,4,1,13,20,2,1,6,3,0
D Wiese,390,19,278,11,17,79,126,15,1,44,9,2
D du Preez,55,1,42,1,4,18,13,2,2,6,1,0
DA Warner,1,1,1,1,0,0,1,0,0,0,0,0
DAJ Bracewell,31,1,24,1,3,10,9,1,0,2,2,1
DB Ravi Teja,28,0,18,0,1,4,10,1,0,1,2,0
DE Bollinger,663,53,576,24,43,254,181,29,2,73,19,9
DJ Bravo,3659,210,2712,134,175,860,1120,235,5,304,136,26
DJ Harris,26,0,18,0,0,4,10,1,0,2,1,0
DJ Hooda,310,16,229,10,7,60,116,14,0,22,13,0
DJ Hussey,467,18,317,6,10,86,144,25,1,30,25,1
DJ Muthuswami,101,7,84,0,4,44,14,5,1,14,3,1
DJ Thornely,38,2,42,2,3,19,18,0,0,5,0,0
DJ Willey,94,2,60,1,2,19,22,3,0,12,3,0
DJG Sammy,341,13,236,8,14,72,97,19,0,33,12,5
DJM Short,19,4,18,0,1,7,7,1,0,1,1,0
DL Chahar,1225,61,1000,46,45,438,306,57,4,149,30,15
DL Vettori,871,23,777,8,34,270,348,54,1,67,24,11
DNT Zoysa,96,4,66,3,2,24,25,1,0,12,3,0
DP Nannes,734,81,646,43,38,285,196,32,7,89,15,7
DP Vijaykumar,192,13,152,7,4,63,44,9,2,23,5,0
DR Sams,109,5,72,5,0,22,29,7,0,9,5,0
DR Smith,787,38,539,18,27,168,219,34,0,74,33,10
DS Kulkarni,2318,147,1763,87,91,735,550,106,4,268,77,14
DT Christian,1001,61,783,35,36,268,307,66,2,87,34,11
DW Steyn,2391,177,2176,100,105,1019,637,127,13,281,54,32
F du Plessis,16,0,6,0,0,0,4,0,0,0,2,0
FH Edwards,144,16,140,10,6,70,36,8,0,19,2,2
FY Fazal,20,0,12,0,1,1,8,1,0,1,1,0
GB Hogg,552,33,458,8,25,159,193,32,3,39,21,7
GC Viljoen,210,19,138,8,8,43,47,12,1,25,6,2
GD McGrath,352,14,324,5,14,153,99,10,1,41,10,2
GH Vihari,46,2,42,1,1,17,16,2,0,5,1,0
GJ Maxwell,765,21,546,12,20,162,251,38,0,48,41,8
GR Napier,27,1,24,0,1,8,11,1,0,2,1,0
GS Sandhu,82,4,48,0,1,9,18,10,0,8,2,0
Gagandeep Singh,141,1,84,0,3,25,27,11,0,14,6,1
Gurkeerat Singh,93,4,78,4,5,26,36,6,1,6,3,1
HF Gurney,231,8,162,7,7,50,66,15,0,23,7,2
HH Pandya,1268,72,869,45,45,287,334,54,2,115,58,5
HV Patel,1300,80,926,40,50,310,349,68,0,125,51,9
Harbhajan Singh,3868,170,3374,77,161,1244,1455,183,12,289,142,37
Harmeet Singh,665,48,525,24,30,189,198,41,0,65,20,10
Harmeet Singh (2),33,1,24,1,1,12,5,2,0,3,2,0
Harpreet Brar,88,1,54,1,0,13,26,3,0,8,4,0
I Malhotra,23,0,6,0,0,0,1,1,0,2,2,0
I Sharma,2485,196,1925,93,73,817,541,122,11,301,73,20
I Udana,274,12,174,8,8,45,72,16,0,26,11,2
IC Pandey,584,25,462,7,19,212,123,18,5,76,17,4
IK Pathan,2569,142,2043,70,99,835,666,114,3,293,82,28
IS Sodhi,201,3,181,1,9,64,80,17,1,9,8,2
Imran Tahir,1650,63,1292,22,83,423,589,85,3,96,82,22
Iqbal Abdulla,1083,42,920,23,45,331,395,50,3,88,37,11
J Botha,781,37,694,15,27,254,294,43,4,60,24,13
J Suchith,387,10,270,7,12,81,116,24,1,31,16,2
J Syed Mohammad,279,7,192,4,10,47,90,21,1,18,12,1
J Theron,279,23,216,14,11,66,97,11,0,28,7,5
J Yadav,285,5,264,4,6,102,112,21,0,19,9,2
JA Morkel,2256,153,1723,84,96,646,590,124,7,263,56,24
JC Archer,948,60,827,31,47,377,259,45,3,81,44,13
JD Ryder,297,17,236,5,11,79,101,17,0,21,13,2
JD Unadkat,2377,70,1644,41,88,540,645,116,10,203,108,14
JDP Oram,342,20,237,7,13,79,89,14,0,34,13,0
JDS Neesham,233,12,144,6,3,39,60,8,1,22,11,0
JE Taylor,152,15,117,5,6,48,30,14,0,10,9,0
JEC Franklin,216,9,151,4,9,39,73,9,1,21,6,1
JH Kallis,2222,126,1742,57,74,601,700,104,5,235,57,24
JJ Bumrah,2513,142,2092,67,119,811,754,162,7,229,79,37
JJ van der Wath,125,9,72,4,3,29,16,1,1,17,6,0
JL Pattinson,311,10,213,9,11,77,68,22,1,34,10,3
JM Kemp,51,7,44,3,3,15,17,2,0,6,1,1
JO Holder,519,33,384,20,23,135,140,34,1,52,15,5
JP Behrendorff,162,6,114,3,5,51,28,5,0,19,8,0
JP Duminy,802,45,678,23,23,234,308,42,0,53,33,7
JP Faulkner,1723,104,1227,49,72,397,442,120,4,159,65,20
JPR Scantlebury-Searles,86,3,42,3,2,7,21,2,1,4,7,0
JR Hazlewood,63,9,60,1,1,29,15,4,0,10,0,0
JR Hopes,539,23,360,9,14,105,143,26,0,44,28,2
JW Hastings,63,3,58,3,3,31,13,3,0,11,0,1
Jaskaran Singh,162,12,102,9,6,39,25,8,1,22,4,1
Joginder Sharma,402,19,256,16,13,71,118,14,0,35,16,4
K Goel,92,2,66,1,0,19,27,7,1,9,2,0
